te paso una muestra de los datos, para que completes la resolucion del problema
yellow_tripdata_2024-01.csv
VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2023-12-01 00:06:06,2023-12-01 00:15:47,0.0,1.1,1.0,N,230,48,1,10.0,3.5,0.5,1.5,0.0,1.0,16.5,2.5,0.0
1,2023-12-01 00:22:26,2023-12-01 00:28:53,0.0,1.5,1.0,N,142,238,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
1,2023-12-01 00:59:44,2023-12-01 01:13:22,2.0,2.2,1.0,N,114,186,1,13.5,3.5,0.5,3.0,0.0,1.0,21.5,2.5,0.0
2,2023-12-01 00:22:17,2023-12-01 00:30:59,1.0,0.66,1.0,N,79,79,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,2023-12-01 00:18:16,2023-12-01 00:25:32,2.0,2.2,1.0,N,229,263,1,11.4,1.0,0.5,2.0,0.0,1.0,18.4,2.5,0.0
1,2023-12-01 00:13:17,2023-12-01 00:23:53,0.0,5.7,1.0,N,88,141,1,23.3,3.5,0.5,0.0,0.0,1.0,28.3,2.5,0.0
2,2023-12-01 00:17:09,2023-12-01 00:33:31,1.0,5.33,1.0,N,45,162,1,24.7,1.0,0.5,3.0,0.0,1.0,32.7,2.5,0.0
2,2023-12-01 00:40:49,2023-12-01 00:44:10,1.0,0.76,1.0,N,170,107,1,5.8,1.0,0.5,1.0,0.0,1.0,11.8,2.5,0.0
2,2023-12-01 00:19:04,2023-12-01 00:34:36,1.0,3.33,1.0,N,186,209,1,17.7,1.0,0.5,3.4,0.0,1.0,26.1,2.5,0.0
1,2023-12-01 00:08:39,2023-12-01 00:16:18,1.0,2.1,1.0,N,163,262,1,12.1,3.5,0.5,3.42,0.0,1.0,20.52,2.5,0.0
